timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729793196276,1399,getIndex,200,OK,Jarkom 3 Soal 8 1-116,text,true,,625,130,252,252,http://gryffindor.hogwarts.B23.com/,1380,0,457
1729793197679,52,getLogin,200,OK,Jarkom 3 Soal 8 1-116,text,true,,841,143,254,254,http://gryffindor.hogwarts.B23.com/php/login.php,52,0,0
1729793196298,1374,getIndex,200,OK,Jarkom 3 Soal 8 1-163,text,true,,621,130,252,252,http://gryffindor.hogwarts.B23.com/,1366,0,451
1729793196262,1413,getIndex,200,OK,Jarkom 3 Soal 8 1-129,text,true,,625,130,252,252,http://gryffindor.hogwarts.B23.com/,1340,0,460
1729793196266,1409,getIndex,200,OK,Jarkom 3 Soal 8 1-157,text,true,,621,130,252,252,http://gryffindor.hogwarts.B23.com/,1353,0,453
1729793197650,682,getIndex,200,OK,Jarkom 3 Soal 8 1-251,text,true,,621,130,254,254,http://gryffindor.hogwarts.B23.com/,682,0,1
1729793196262,1413,getIndex,200,OK,Jarkom 3 Soal 8 1-135,text,true,,621,130,252,252,http://gryffindor.hogwarts.B23.com/,1358,0,459
1729793197648,684,getIndex,200,OK,Jarkom 3 Soal 8 1-248,text,true,,620,130,254,254,http://gryffindor.hogwarts.B23.com/,684,0,1
1729793196263,1412,getIndex,200,OK,Jarkom 3 Soal 8 1-97,text,true,,621,130,252,252,http://gryffindor.hogwarts.B23.com/,1358,0,483
1729793197646,686,getIndex,200,OK,Jarkom 3 Soal 8 1-249,text,true,,625,130,254,254,http://gryffindor.hogwarts.B23.com/,686,0,1
1729793196596,1079,getIndex,200,OK,Jarkom 3 Soal 8 1-189,text,true,,621,130,252,252,http://gryffindor.hogwarts.B23.com/,1018,0,117
1729793197641,692,getIndex,200,OK,Jarkom 3 Soal 8 1-247,text,true,,621,130,254,254,http://gryffindor.hogwarts.B23.com/,692,0,1
1729793196587,1088,getIndex,200,OK,Jarkom 3 Soal 8 1-181,text,true,,621,130,252,252,http://gryffindor.hogwarts.B23.com/,1026,0,122
1729793197610,723,getIndex,200,OK,Jarkom 3 Soal 8 1-250,text,true,,620,130,254,254,http://gryffindor.hogwarts.B23.com/,723,0,12
1729793196263,1412,getIndex,200,OK,Jarkom 3 Soal 8 1-74,text,true,,620,130,252,252,http://gryffindor.hogwarts.B23.com/,1349,0,462
1729793197555,778,getIndex,200,OK,Jarkom 3 Soal 8 1-245,text,true,,625,130,254,254,http://gryffindor.hogwarts.B23.com/,778,0,0
1729793196262,1413,getIndex,200,OK,Jarkom 3 Soal 8 1-128,text,true,,620,130,252,252,http://gryffindor.hogwarts.B23.com/,1349,0,460
1729793197547,786,getIndex,200,OK,Jarkom 3 Soal 8 1-246,text,true,,621,130,254,254,http://gryffindor.hogwarts.B23.com/,786,0,1
1729793196609,1066,getIndex,200,OK,Jarkom 3 Soal 8 1-185,text,true,,621,130,252,252,http://gryffindor.hogwarts.B23.com/,1002,0,96
1729793197528,806,getIndex,200,OK,Jarkom 3 Soal 8 1-244,text,true,,620,130,254,254,http://gryffindor.hogwarts.B23.com/,806,0,0
1729793196280,1395,getIndex,200,OK,Jarkom 3 Soal 8 1-162,text,true,,620,130,252,252,http://gryffindor.hogwarts.B23.com/,1331,0,440
1729793197490,844,getIndex,200,OK,Jarkom 3 Soal 8 1-241,text,true,,625,130,254,254,http://gryffindor.hogwarts.B23.com/,844,0,32
